field,source,roundTrip,classification,evidence,status
Patient.identifier,synthetic fixture,not run,absent,preflight required,blocked
Patient.name,synthetic fixture,not run,absent,preflight required,blocked
Patient.gender,synthetic fixture,not run,absent,preflight required,blocked
Patient.birthDate,synthetic fixture,not run,absent,preflight required,blocked
Patient.communication,synthetic fixture,not run,absent,preflight required,blocked
Observation.code,synthetic fixture,not run,absent,preflight required,blocked
Observation.value,synthetic fixture,not run,absent,preflight required,blocked
Observation.unit,synthetic fixture,not run,absent,preflight required,blocked
Observation.effectiveDateTime,synthetic fixture,not run,absent,preflight required,blocked
Observation.status,synthetic fixture,not run,absent,preflight required,blocked
MedicationRequest.medication,synthetic fixture,not run,absent,preflight required,blocked
MedicationRequest.status,synthetic fixture,not run,absent,preflight required,blocked
MedicationRequest.authoredOn,synthetic fixture,not run,absent,preflight required,blocked
MedicationRequest.dosageInstruction,synthetic fixture,not run,absent,preflight required,blocked
AllergyIntolerance.code,synthetic fixture,not run,absent,preflight required,blocked
AllergyIntolerance.severity,synthetic fixture,not run,absent,preflight required,blocked
AllergyIntolerance.reaction,synthetic fixture,not run,absent,preflight required,blocked
Encounter.period,synthetic fixture,not run,absent,preflight required,blocked
Encounter.class,synthetic fixture,not run,absent,preflight required,blocked
source.provenance,synthetic fixture,not run,absent,preflight required,blocked
